hour,zone
21,B
13,A
17,B
6,A
22,D
22,D
4,B
16,A
8,A
3,B
6,C
13,B
2,A
12,C
1,D
1,A
18,D
12,C
19,B
4,C
6,D
19,B
10,A
23,D
3,B
5,B
11,A
4,B
14,C
0,B
18,B
11,A
3,A
6,D
15,D
14,B
6,D
4,A
6,B
17,D
16,B
9,A
5,B
11,A
4,A
15,B
4,C
2,D
2,A
14,C
7,D
13,C
19,C
16,C
14,C
21,D
23,A
22,D
13,C
9,A
18,D
12,C
23,A
7,A
13,D
6,B
2,D
0,D
15,D
1,B
15,B
9,B
8,A
1,A
5,D
0,C
8,A
20,C
7,D
20,C
0,A
4,A
2,C
15,B
9,A
21,A
0,C
12,A
10,C
21,D
13,A
9,A
7,B
3,A
3,B
6,B
22,A
14,B
23,B
6,C
16,B
15,B
15,A
18,B
1,A
23,B
1,A
9,A
21,D
13,A
18,B
14,D
0,B
2,C
14,C
19,B
13,B
23,B
10,A
1,C
23,D
17,B
4,C
9,A
4,D
22,B
9,A
1,B
6,D
18,B
23,D
11,B
3,B
6,C
4,B
0,C
11,C
4,C
6,D
5,B
10,A
18,B
9,C
18,A
19,B
12,D
7,D
19,B
21,C
20,A
16,C
0,B
18,A
2,A
21,C
21,C
16,D
23,B
19,B
21,B
20,B
4,A
6,D
9,A
9,A
0,C
21,D
11,A
2,B
17,B
2,D
2,A
17,B
3,A
4,C
7,C
17,B
0,A
9,A
6,B
22,D
16,C
2,D
3,D
22,D
5,A
0,C
1,C
8,B
15,B
18,B
15,C
20,B
11,A
19,D
11,A
10,D
8,A
17,B
0,C
5,D
20,C
4,D
23,B
18,B
19,C
20,B
19,A
8,C
4,C
4,D
12,C
1,C
8,C
12,B
22,D
23,B
5,A
9,A
11,D
16,C
20,B
6,D
2,B
14,C
19,B
16,B
12,C
19,B
3,C
15,C
11,A
10,D
11,A
16,C
16,A
16,D
9,A
17,A
14,B
22,D
18,C
14,B
23,A
2,B
23,B
4,A
15,D
3,D
8,C
8,A
23,D
14,D
12,D
14,C
20,B
9,A
21,C
20,B
15,C
19,C
10,A
14,A
1,C
11,A
1,D
7,C
12,A
3,D
14,B
5,A
9,A
18,B
16,D
3,D
15,C
20,B
8,A
7,A
14,A
16,D
22,C
9,A
21,D
7,B
10,A
9,A
0,C
7,A
16,D
3,D
19,B
20,B
2,B
16,C
13,D
19,C
7,B
6,D
11,A
4,B
23,C
0,C
19,B
23,A
17,B
10,A
11,A
3,B
7,C
8,A
19,B
6,B
15,B
6,C
16,B
22,D
22,D
15,D
23,D
16,C
15,C
12,A
22,D
5,A
3,B
3,D
12,B
7,B
23,B
23,C
16,D
2,C
9,A
10,A
19,B
23,D
21,C
0,B
22,C
9,A
19,B
12,A
17,B
12,D
19,B
0,B
22,B
7,A
23,C
6,D
13,B
5,D
17,B
16,D
12,C
22,A
12,D
12,A
9,A
17,B
23,C
2,A
18,B
3,D
23,D
12,A
1,A
0,A
13,B
17,B
17,B
7,C
11,A
10,A
9,D
1,B
11,A
16,B
13,B
3,C
0,D
11,A
20,B
1,A
14,A
11,A
21,D
9,A
8,A
11,C
11,A
21,B
6,A
0,B
0,B
6,C
13,A
20,D
6,D
14,D
17,B
15,C
6,D
8,A
22,C
11,A
5,D
2,D
0,A
16,B
2,A
20,B
15,B
7,A
22,C
12,B
0,B
9,A
14,C
16,B
9,A
3,D
12,B
2,B
8,A
21,B
15,B
16,D
5,A
0,B
0,B
3,B
13,C
7,D
7,D
9,A
5,D
15,B
